supplier,nr,fabric_name,category,width_cm,year,roll_price_eur,cut_price_eur,sell_roll_price_eur,sell_cut_price_eur,status
DATEKS,1381,AFTER DARK,fabrics,141,2021,17.892800000000005,23.260640000000006,46.87913600000002,60.942876800000015,
DATEKS,1384,BERIL,fabrics,295,2019,42.35636363636364,46.592000000000006,110.97367272727274,122.07104000000002,
DATEKS,1385,DILHUN,fabrics,295,2019,38.86545454545455,42.752,101.82749090909091,112.01024000000001,
DATEKS,1386,RIVERA,fabrics,295,2019,39.68,43.648,103.9616,114.35776000000001,
DATEKS,1387,EMERALD,fabrics,295,2019,38.86545454545455,42.752,101.82749090909091,112.01024000000001,
DATEKS,1388,SPRINGA,fabrics,295,2022,41.07636363636363,45.184,107.62007272727271,118.38208,
DATEKS,1389,BURCAK,fabrics,270,2019,51.78181818181819,56.96000000000001,135.66836363636367,149.23520000000002,
DATEKS,1390,STELLAR,fabrics,140,2021,16.09504,20.923552,42.1690048,54.81970624,
DATEKS,1391,INSULATION,fabrics,148,2021,11.024000000000001,14.331200000000003,28.882880000000004,37.54774400000001,
DATEKS,1392,NORTHSTAR RECYCLE,fabrics,145,2021,17.892800000000005,23.260640000000006,46.87913600000002,60.942876800000015,
DATEKS,1394,BIRDSEYE F.R.,fabrics,140,2021,25.873574999999995,30.4395,67.7887665,79.75149,
DATEKS,1395,215314-1  GRECO,fabrics,300,2021,17.648,22.448,46.23776,58.81376,
DATEKS,1396,820002-7 GRAPE FR,fabrics,310,2021,40.851200000000006,45.6512,107.03014400000002,119.60614400000001,
DATEKS,1400,215315 KAHLO,fabrics,290,2021,13.712000000000002,18.512,35.92544000000001,48.50144,
DATEKS,1401,PAFURI,fabrics,295,2018,24.767272727272726,27.244,64.89025454545454,71.37928000000001,
DATEKS,1404,STRAW,fabrics,290,2020,32.121075,37.789500000000004,84.1572165,99.00849000000001,
DATEKS,1406,MARINUS,fabrics,290,2018,11.985454545454546,13.184000000000001,31.401890909090913,34.542080000000006,
DATEKS,1407,41338,fabrics,320,2018,8.55,9.920000000000002,22.401000000000003,25.990400000000005,
DATEKS,1412,"EZGI (PLAIN, REYA, KOMBIN)",fabrics,297,2021,10.156363636363636,11.172,26.609672727272727,29.270640000000004,
DATEKS,1413,BRAIDA,fabrics,315,2020,16.948574999999998,19.939499999999995,44.405266499999996,52.24148999999999,
DATEKS,1414,SUPRA,fabrics,140,2021,28.741818181818182,31.616000000000003,75.30356363636363,82.83392,
DATEKS,1415,BLACKSTONE F.R,fabrics,145,2020,24.088575,28.339499999999994,63.1120665,74.24948999999998,
DATEKS,1420,TOUCHE,fabrics,290,2018,11.636363636363637,12.8,30.487272727272728,33.536,
DATEKS,1425,MALAGA,fabrics,315?,2021,24,28.8,62.88,75.456,
DATEKS,1427,ULTRA DIMOUT,fabrics,302,2019,20.72,26.944000000000003,54.2864,70.59328000000001,
DATEKS,1428,COSMO TUL,fabrics,325,2018,20.936363636363634,23.029999999999998,54.853272727272724,60.3386,
DATEKS,1439,PERINUR,fabrics,145,2020,28.62545454545454,31.488,74.9986909090909,82.49856,
DATEKS,1441,MAHINUR FARBA,fabrics,90,2019,14.429090909090908,15.872,37.80421818181818,41.58464,
DATEKS,1443,DOROTEA,fabrics,280,2020,24.208000000000002,28.944000000000003,63.424960000000006,75.83328000000002,
DATEKS,1445,"AZRA PLAIN / KN. AZRA, BURLU",fabrics,140,2019,26.647272727272725,29.312,69.81585454545454,76.79744000000001,
DATEKS,1449,BARLEY,fabrics,300,2020,14.96,17.951999999999998,39.19520000000001,47.03424,
DATEKS,1452,ROBE BLACKOUT,fabrics,300,2020,16.995,19.965,44.526900000000005,52.3083,
DATEKS,1453,SILKY BLACKOUT,fabrics,280,2020,14.850000000000001,17.655,38.907000000000004,46.2561,
DATEKS,1455,HELIANTHUS / KOMBIN / LEAF,fabrics,150,2021,20.596363636363638,22.656000000000002,53.96247272727273,59.358720000000005,
DATEKS,1457,FULYA,fabrics,320,2018,7.68,8.448,20.1216,22.133760000000002,
DATEKS,1458,MEGAN,fabrics,280,2020,18.032,21.568,47.24384,56.508160000000004,
DATEKS,1459,SALOU FR,fabrics,280,2018,28.144000000000002,33.632,73.73728000000001,88.11583999999999,
DATEKS,1460,GATSBY / GOSSIAN FR,fabrics,138,2018,23.936000000000003,31.1168,62.71232000000001,81.52601600000001,
DATEKS,1461,"GRANDIOSO DIMOUT FR  GADOLINIUM, GIOIA",fabrics,140,2018,18,23.400000000000002,47.160000000000004,61.30800000000001,
DATEKS,1462,BARI / DIMOUT M1,fabrics,142,2018,16.183999999999997,24.003999999999998,42.40208,62.89048,
DATEKS,1463,MEFISTO  FR / DIMOUT M1,fabrics,300,2018,28.764000000000003,28.764000000000003,75.36168,75.36168,
DATEKS,1464,BOREALE / DIMOUT M1,fabrics,150,2018,15.946000000000002,25.398,41.77852000000001,66.54276,
DATEKS,1465,LIDO FR / DIMOUT M1,fabrics,300,2018,34.357,49.045,90.01534,128.49790000000002,
DATEKS,1466,NANNO /  FR BLACKOUT EN 13773,fabrics,280,2018,30.175,46.427,79.05850000000001,121.63874,
DATEKS,1467,BYZANCE FR / DIMOUT M1,fabrics,150,2018,15.827,25.108999999999998,41.46674,65.78558,
DATEKS,1468,MONTECARLO /  FR DIMOUT M1,fabrics,300,2018,27.982,40.766,73.31284,106.80692,
DATEKS,1469,PEARL /  FR DIMOUT M1 ,fabrics,150,2018,15.827,25.261999999999997,41.46674,66.18643999999999,
DATEKS,1472,COSY FR / DIMOUT M1,fabrics,150,2018,15.827,25.261999999999997,41.46674,66.18643999999999,
DATEKS,1473,ADONE FR,fabrics,293 ROLL,2020,19.200000000000003,0,50.30400000000001,0.0,
DATEKS,1474,INDIANO FR  / DIMOUT M1,fabrics,150,2018,15.946000000000002,25.398,41.77852000000001,66.54276,
DATEKS,1475,COLLINS FR,fabrics,295 ROLL,2020,33,0,86.46000000000001,0.0,
DATEKS,1476,HADES FR / DIMOUT M1,fabrics,300,2018,27.982,40.766,73.31284,106.80692,
DATEKS,1477,ALEKSANDER,fabrics,295 ROLL,2020,30.150000000000002,0,78.99300000000001,0.0,
DATEKS,1478,TUCANO FR / DIMOUT M1,fabrics,150,2018,9.265,16.915,24.274300000000004,44.3173,
DATEKS,1479,ARIETE / FR  BLACKOUT EN 13773,fabrics,290,2018,18.615,0,48.7713,0.0,
DATEKS,1483,AURIGA BLACKOUT,fabrics,300,2018,16.744999999999997,0,43.8719,0.0,
DATEKS,1484,BIRGIT,fabrics,320,2020,16.948574999999998,19.939499999999995,44.405266499999996,52.24148999999999,
DATEKS,1489,SEDA,fabrics,300 roll,2018,5.9799999999999995,0,15.6676,0.0,
DATEKS,1490,SUNA ROLL,fabrics,300-roll,2018,7.920000000000001,0,20.750400000000003,0.0,
DATEKS,1492,RESTILL,fabrics,140,2020,12.486075,14.689499999999999,32.7135165,38.486489999999996,
DATEKS,1493,LEONE  / BLACKOUT EN 13773,fabrics,280,2018,26.825999999999997,0,70.28412,0.0,
DATEKS,1494,LAGOS,fabrics,280,2018,5.6,6.7,14.671999999999999,17.554000000000002,
DATEKS,1495,ESTEFANO,fabrics,320,2024,15.92,22.96,41.7104,60.15520000000001,
DATEKS,1497,MORIGI,fabrics,140,2018,23.854545454545452,26.24,62.49890909090909,68.7488,
