article,category,width_cm,cut_price_eur,roll_price_eur,notes
"CLEANOPAC – FR (other)","blackout","280","42.13","35.81","Fire retardant"
"COALA","dimout","300","36.88","31.34",""
"COLLINS – FR","dimout","300","Roll only","40.69","Fire retardant"
"COLORADO","outdoor","280","50.5","40.5",""
"COMO – FR (DISCOUNT)","upholstery/decoration","142","11.13","9.46","DISCOUNT - available until stock lasts"
"CONCEPT","upholstery/decoration","280","40.5","34.43",""
"CONTRADA","upholstery/decoration","140","18.88","16.04",""
"CORAL","upholstery/decoration","280","37.75","30.25",""
"CORAL – FR","decoration","305/310","Roll only","23.8","Fire retardant"
"CORFU","sheer/decoration","300","28.38","24.12",""
"CORVUS","upholstery/decoration","140","41.13","34.96",""
"COTTAGE","upholstery/decoration","140","18.88","16.04",""
"COTTONLINO","decoration","280","37.38","31.77",""
"CREP","decoration","320","18","15.3",""
"D&G-1","upholstery/decoration","140","30.5","25.93",""
"D&G-2, 3, 4","upholstery/decoration","140","26.13","22.21",""
"DADO","outdoor","320","31.88","25.5",""
"DADOLAM","outdoor","155","29.5","23.5",""
"DALI – FR","decoration","295/300","Roll only","27.63","Fire retardant"
"DAMA","decoration","310","15.63","13.28",""
"DELUXE","upholstery/decoration","140","35.75","30.39",""
"DENIZ","upholstery/decoration","140","36","30.6",""
"DESERTO (DISCOUNT)","decoration","300","13","11.05","DISCOUNT - available until stock lasts"
"DESPERADO","upholstery/decoration","290","43.25","36.76",""
"DIONISO – FR","fire-retardant dimout","295/300","Roll only","37.51","Fire retardant"
"DIZY","upholstery/decoration","280","40.38","34.32",""
"DOLLY","upholstery/decoration","140","48.5","41.23",""
"DOUBLE FACE BLACKOUT","dimout","280","35.88","30.49",""
"DROP – 3D (DISCOUNT)","upholstery/decoration","140","27.5","23.38","DISCOUNT - available until stock lasts"
"DUNIA","upholstery/decoration","280","34.13","29.01",""
"DUO","outdoor","320","36.88","29.5",""
"DUSE (DISCOUNT)","decoration","300","9.63","8.18","DISCOUNT - available until stock lasts"
