supplier,catalog_nr,design,category,width_cm,roll_price_eur,coupon_price_eur,sell_price_eur
DATEKS,?," PORTRAIT BALANCE, CLARA,  FLUID, POISE, /RUBENESQUE",fabrics,,27.0512,35.166560000000004,92.13638720000002
DATEKS,1269x, UTIEL / UTIEL,fabrics,280,21.117600000000003,25.334400000000002,66.37612800000001
DATEKS,1921,10211 / 10448,fabrics,300,15.600000000000001,18.72,49.0464
DATEKS,1485x,16300 / Dimout,fabrics,150,6.352,11.808,30.93696
DATEKS,1485x,16300 / Dimout,fabrics,300,12.72,26.576,69.62912
DATEKS,649,200077 KENDAL LD*,fabrics,300,11.088000000000001,15.888,41.626560000000005
DATEKS,874,200094-0 FOND+ LD,fabrics,300,12.464,17.264,45.23168
DATEKS,1526,201088 CEZANNE,fabrics,300,14.896,18.896,49.50752000000001
DATEKS,634?,201312 BO,fabrics,300,18.688,23.488,61.538560000000004
DATEKS,1402,215175 Matisse,fabrics,300,16.976,21.776,57.05312
DATEKS,596,215214 Manet + LD,fabrics,280,31.52,36.32,95.1584
DATEKS,661,215218 Banks + LD,fabrics,300,21.296000000000003,26.096,68.37152
DATEKS,739,215219 Duval + LD,fabrics,315,14.832,19.632,51.435840000000006
DATEKS,1403,215220 Faber + LD,fabrics,305,14.463999999999999,19.264,50.47168
DATEKS,621,215223 Roa + LD,fabrics,310,23.904,28.704000000000004,75.20448000000002
DATEKS,633,215224 WALLACE ,fabrics,295,18.32,23.12,60.574400000000004
DATEKS,1395,215314-1  GRECO,fabrics,300,17.648,22.448,58.81376
DATEKS,1400,215315 KAHLO,fabrics,290,13.712000000000002,18.512,48.50144
DATEKS,1316,215316  MARC,fabrics,305,20.624000000000002,25.424000000000003,66.61088000000001
DATEKS,702,215317  MELON,fabrics,300 RECYCLED,11.328000000000001,16.128,42.25536
DATEKS,731,215318 GRIMAUD,fabrics,310,18.224,23.024,60.322880000000005
DATEKS,358,215319 PLANCHET,fabrics,310,23.952,28.752,75.33024
DATEKS,789,215320  Duke,fabrics,300,30.208,35.008,91.72096
DATEKS,787,215321  Agneta,fabrics,300,21.552000000000003,26.352,69.04224
DATEKS,862,215322 HOWL,fabrics,290,29.951999999999998,34.752,91.05024000000002
DATEKS,870,215323 AVID,fabrics,300,14.832,19.632,51.435840000000006
DATEKS,ODE1,215324 SORA,fabrics,300,29.536,34.32,89.9184
DATEKS,782,215325 FOUNT,fabrics,290,19.888,24.688000000000002,64.68256000000001
