Supplier,Product Name,Category,Width (cm),Composition,Weight (g/m2),Martindale,Fire Rating,Remarks/Finish,Price - Cut Length (EUR/m),Price - Roll (EUR/m),Price - 250m+ (EUR/m),Price - 500m+ (EUR/m)
RIOMA,BOBOLI 280,Upholstery/Curtain,280,100%CO,240,15000,,DIGITAL PRE-SHRUNK,26.55,23.89,,
RIOMA,BOMBON 280,Upholstery/Curtain,280,100%CO,170,10000,,PRINTED PRE-SHRUNK,16.6,14.94,,
RIOMA,BORZI 140,Upholstery/Curtain,140,100%PES,290,40000,,PRINTED RESISTA,14.25,12.82,,
RIOMA,BOSQUE 280,Upholstery/Curtain,280,75%CO25%LI,220,12000,,PRINTED PRE-SHRUNK,18.35,16.51,,
RIOMA,BOUQUET 140,Upholstery/Curtain,140,95%PES5%CO,370,60000,,PRINTED,15.15,13.63,,
RIOMA,BRADFORD 140,Upholstery/Curtain,140,90%CO10%LI,240,25000,,PRINTED PRE-SHRUNK CALENDER,9.1,8.19,,
RIOMA,BRADFORD 280,Upholstery/Curtain,280,90%CO10%LI,240,25000,,PRINTED PRE-SHRUNK CALENDER,18.35,16.51,,
RIOMA,BRID 140,Upholstery/Curtain,140,95%PES5%CO,370,60000,,PRINTED,15.15,13.63,,
RIOMA,BUCOLICA 140,Upholstery/Curtain,140,100%CO,240,15000,,PRINTED PRE-SHRUNK,11.15,10.03,,
RIOMA,BUCOLICA 280,Upholstery/Curtain,280,100%CO,240,15000,,PRINTED PRE-SHRUNK,22.35,20.11,,
RIOMA,BUDAPEST 140,Upholstery/Curtain,140,85%PES 15%PA,340,120000,,DYED STRESISTA,12.9,11.61,,
RIOMA,BUDAPEST PLUS 140,Upholstery/Curtain,140,85%PES 15%PA,530,120000,,DYED STRESISTA,17,15.3,,
RIOMA,CALABAR 140,Upholstery/Curtain,140,100%PES,400,60000,,LASER STAIN RESISTANT,19.9,17.91,,
RIOMA,CALI 140,Upholstery/Curtain,140,100%PES,400,60000,,PRINTED RESISTA,17.85,16.07,,
RIOMA,CALIMA 140,Upholstery/Curtain,140,100%CO,380,25000,,DIGITAL PRE-SHRUNK,18.25,16.42,,
RIOMA,CALIZA 140,Upholstery/Curtain,140,95%PES5%CO,370,60000,,PRINTED,15.15,13.63,,
RIOMA,CALYPSO 140,Upholstery/Curtain,140,100%PES,290,40000,,PRINTED RESISTA,14.25,12.82,,
RIOMA,CAMBRIDGE 140,Upholstery/Curtain,140,90%CO10%LI,240,25000,,PRINTED PRE-SHRUNK CALENDER,9.1,8.19,,
RIOMA,CAMBRIDGE 280,Upholstery/Curtain,280,90%CO10%LI,240,25000,,PRINTED PRE-SHRUNK CALENDER,18.35,16.51,,
RIOMA,CAMILA 140,Upholstery/Curtain,140,90%CO10%LI,240,25000,,PRINTED PRE-SHRUNK CALENDER,9.1,8.19,,
RIOMA,CAMILA 280,Upholstery/Curtain,280,90%CO10%LI,240,25000,,PRINTED PRE-SHRUNK CALENDER,18.35,16.51,,
RIOMA,CANCUN 140,Upholstery/Curtain,140,90%CO10%LI,240,25000,,PRINTED PRE-SHRUNK CALENDER,9.1,8.19,,
